batch_id,timestamp,machine_id,product_line,temperature,pressure,cycle_time,vibration,quality_measurement,defect_rate,temperature_tolerance,pressure_tolerance,cycle_time_tolerance,vibration_tolerance,operator_shift,operator_id,raw_material_batch,ambient_temperature,energy_consumption,maintenance_days,production_speed,actual_status,final_outcome,temperature_tolerance_distance,temperature_limit_utilization_pct,pressure_tolerance_distance,pressure_limit_utilization_pct,cycle_time_tolerance_distance,cycle_time_limit_utilization_pct,vibration_tolerance_distance,vibration_limit_utilization_pct,temperature_rolling_mean,temperature_rolling_std,temperature_rolling_z,temperature_drift_flag,pressure_rolling_mean,pressure_rolling_std,pressure_rolling_z,pressure_drift_flag,cycle_time_rolling_mean,cycle_time_rolling_std,cycle_time_rolling_z,cycle_time_drift_flag,vibration_rolling_mean,vibration_rolling_std,vibration_rolling_z,vibration_drift_flag
23,2026-01-01 05:30:00,M-02,Line-B,70.345,101.991,41.375,2.046,48.733,0.748,78.0,108.0,49.0,3.3,Shift-A,OP-022,RM-0060,25.46,90.0,51.0,99.4,Stable,Accepted,7.655000000000001,90.18589743589743,6.009,94.4361111111111,7.625,84.43877551020408,1.254,62.0,70.14095652173913,1.360749241419491,0.14994936028626374,False,100.41304347826087,1.9007680858551714,0.8301678324050719,False,41.519608695652174,1.1440590710722782,-0.12639967577604042,False,1.897,0.267179884926038,0.5576767129802706,False
24,2026-01-01 05:45:00,M-06,Line-A,69.97,99.772,41.646,1.797,51.106,0.814,78.0,108.0,49.0,3.3,Shift-A,OP-003,RM-0045,25.37,87.41,83.0,98.4,Stable,Accepted,8.030000000000001,89.7051282051282,8.227999999999994,92.38148148148149,7.353999999999999,84.99183673469388,1.503,54.45454545454545,70.13383333333333,1.3312964477846634,-0.12306299893307403,False,100.38633333333333,1.8635874629016091,-0.3296509262714196,False,41.524875,1.1192092438510934,0.10822373087557743,False,1.8928333333333331,0.26210314376408095,-0.3656321399166154,False
25,2026-01-01 06:00:00,M-05,Line-A,68.281,97.32,41.743,1.834,50.713,1.19,78.0,108.0,49.0,3.3,Shift-A,OP-019,RM-0008,24.79,74.86,73.0,103.95,Stable,Accepted,9.718999999999994,87.53974358974361,10.680000000000007,90.11111111111111,7.256999999999998,85.18979591836735,1.4659999999999997,55.57575757575758,70.05972,1.3549250754193027,-1.3127810771747213,False,100.26368000000001,1.9246681904508465,-1.5294480443979637,False,41.5336,1.09651246382945,0.19096910149903418,False,1.89048,0.2568542258428569,-0.2198912625037139,False
26,2026-01-01 06:15:00,M-04,Line-A,67.851,101.018,42.455,2.179,50.055,0.429,78.0,108.0,49.0,3.3,Shift-A,OP-026,RM-0092,24.7,82.55,111.0,97.55,Stable,Accepted,10.149000000000001,86.98846153846154,6.981999999999999,93.53518518518518,6.545000000000002,86.64285714285714,1.121,66.03030303030303,69.91684000000001,1.3929774968270912,-1.4830390330824126,False,100.40932000000001,1.8326909341184616,0.33212364871154465,False,41.53344,1.0963720886025252,0.8405540505638488,False,1.88704,0.2521623947644322,1.157825298545194,False
27,2026-01-01 06:30:00,M-03,Line-C,67.362,100.902,41.089,1.66,49.617,1.005,78.0,108.0,49.0,3.3,Shift-A,OP-028,RM-0122,25.24,83.68,51.0,98.06,Stable,Accepted,10.638000000000005,86.36153846153846,7.097999999999999,93.42777777777778,7.911000000000001,83.85510204081632,1.64,50.303030303030305,69.7324,1.414482119599491,-1.6758076805319955,False,100.58988000000001,1.6312931557509824,0.19133286920235096,False,41.54796,1.0876016994592568,-0.4219927205227745,False,1.8893600000000002,0.24968528190504144,-0.9185963956306756,False
28,2026-01-01 06:45:00,M-05,Line-C,71.999,99.438,39.495,1.94,50.113,1.287,78.0,108.0,49.0,3.3,Shift-A,OP-003,RM-0143,24.72,87.44,80.0,99.85,Stable,Accepted,6.001000000000005,92.30641025641026,8.561999999999998,92.07222222222222,9.505000000000003,80.60204081632652,1.3599999999999999,58.78787878787879,69.87172,1.4604626413115354,1.4565795384465592,False,100.58795999999998,1.632674198975411,-0.7043413809819737,False,41.49516,1.1546423934130707,-1.7322766004525596,False,1.89872,0.24689564597213945,0.16719614409343678,False
29,2026-01-01 07:00:00,M-04,Line-B,70.753,101.159,42.171,2.349,49.036,1.106,78.0,108.0,49.0,3.3,Shift-A,OP-010,RM-0129,24.54,88.18,66.0,102.24,Stable,Accepted,7.247,90.70897435897436,6.840999999999994,93.66574074074074,6.829000000000001,86.06326530612245,0.9509999999999996,71.18181818181819,69.82292000000001,1.4067185195814174,0.6611699405768425,False,100.55408,1.610661792556091,0.3755723285892378,False,41.456199999999995,1.112310245989549,0.6426264637741366,False,1.9264400000000002,0.25719708396480706,1.6429424217648596,False
30,2026-01-01 07:15:00,M-03,Line-A,67.689,98.622,41.882,1.635,49.775,0.419,78.0,108.0,49.0,3.3,Shift-A,OP-028,RM-0028,24.99,85.02,108.0,101.57,Stable,Accepted,10.311000000000007,86.78076923076922,9.378,91.31666666666666,7.118000000000002,85.4734693877551,1.6649999999999998,49.54545454545455,69.74376,1.4700556191292007,-1.3977430331630278,False,100.41844,1.6253984660178984,-1.1052305250423573,False,41.490680000000005,1.1115854188200431,0.3520377232146339,False,1.91512,0.2637289201686712,-1.062151241588695,False
31,2026-01-01 07:30:00,M-03,Line-A,68.857,97.118,41.355,1.888,50.397,0.839,78.0,108.0,49.0,3.3,Shift-A,OP-023,RM-0067,25.13,81.78,26.0,100.33,Stable,Accepted,9.143,88.27820512820512,10.882000000000005,89.92407407407407,7.645000000000003,84.39795918367346,1.412,57.21212121212121,69.76567999999999,1.4517420489421218,-0.625923868956018,False,100.20128000000001,1.6905282586615777,-1.82385593627468,False,41.57248,1.0155190429857346,-0.2141564961308726,False,1.9307999999999998,0.24901455780737,-0.1718775013672442,False
32,2026-01-01 07:45:00,M-02,Line-A,70.414,101.119,40.761,1.51,49.161,0.505,78.0,108.0,49.0,3.3,Shift-A,OP-024,RM-0039,26.22,83.13,2.0,98.46,Stable,Accepted,7.5859999999999985,90.27435897435898,6.881,93.6287037037037,8.238999999999997,83.1857142857143,1.7899999999999998,45.75757575757576,69.75912,1.4482848856492299,0.4521762303046057,False,100.21931999999998,1.6981056288307506,0.5298139201266899,False,41.54536,1.0282061596132668,-0.76284312505482,False,1.92448,0.2578119663630841,-1.607683327686488,False
33,2026-01-01 08:00:00,M-01,Line-B,70.628,98.326,40.75,2.088,50.21,1.612,78.0,108.0,49.0,3.3,Shift-B,OP-021,RM-0026,26.52,83.72,26.0,100.77,Stable,Accepted,7.372,90.54871794871795,9.674000000000007,91.04259259259258,8.25,83.16326530612244,1.2119999999999997,63.27272727272728,69.8108,1.455590515907548,0.5614216299633435,False,100.14276,1.739770130409958,-1.0442528976928132,False,41.45996,1.0005961339788052,-0.7095370208726399,False,1.93668,0.2580543741152241,0.5863880452281506,False
34,2026-01-01 08:15:00,M-04,Line-A,72.28,103.64,43.066,2.34,47.739,1.704,78.0,108.0,49.0,3.3,Shift-B,OP-014,RM-0135,24.43,100.94,73.0,101.85,Warning,Accepted,5.719999999999999,92.66666666666666,4.359999999999999,95.96296296296296,5.9339999999999975,87.88979591836735,0.96,70.9090909090909,69.8378,1.4959587226925752,1.6325316754758348,False,100.28596000000002,1.8747709300071864,1.78903990152393,False,41.4746,1.021945244782386,1.557226287929814,False,1.9631999999999998,0.2642489356648386,1.4259281652430802,False
35,2026-01-01 08:30:00,M-06,Line-B,73.03,101.812,42.992,1.786,49.46,1.649,78.0,108.0,49.0,3.3,Shift-B,OP-025,RM-0113,25.12,86.86,63.0,94.33,Stable,Accepted,4.969999999999999,93.62820512820514,6.188000000000002,94.27037037037037,6.008000000000003,87.73877551020408,1.5139999999999998,54.121212121212125,69.95084,1.625910095915516,1.8938070485786553,False,100.38528000000001,1.887688169869874,0.7558027977143802,False,41.46892,1.0126906783416134,1.5039933047415845,False,1.9531200000000002,0.2660767934262588,-0.6280893491236252,False
36,2026-01-01 08:45:00,M-01,Line-D,72.896,103.005,42.537,2.094,48.353,1.53,78.0,108.0,49.0,3.3,Shift-B,OP-019,RM-0080,24.59,88.66,12.0,96.62,Stable,Accepted,5.103999999999999,93.45641025641027,4.9950000000000045,95.375,6.463000000000001,86.81020408163265,1.206,63.45454545454545,70.01867999999999,1.7132391037641734,1.6794620165266048,False,100.61176000000002,1.846685483056965,1.2959651342676162,False,41.53764,1.0249665799429735,0.9750171562233743,False,1.95576,0.2671758596879591,0.5174120152975409,False
37,2026-01-01 09:00:00,M-06,Line-B,70.736,99.621,41.067,2.161,49.698,0.701,78.0,108.0,49.0,3.3,Shift-B,OP-023,RM-0026,22.76,89.12,87.0,105.77,Stable,Accepted,7.263999999999996,90.68717948717949,8.379000000000005,92.24166666666666,7.933,83.81020408163266,1.1389999999999998,65.48484848484848,70.06448,1.7166308358720193,0.3911848639599208,False,100.56952,1.857178395667292,-0.5107317650328335,False,41.5346,1.0262976744915009,-0.4556182982989598,False,1.9737599999999997,0.26514984442763684,0.7061667352820218,False
38,2026-01-01 09:15:00,M-05,Line-D,68.987,99.223,43.257,1.708,51.58,0.84,78.0,108.0,49.0,3.3,Shift-B,OP-005,RM-0049,24.42,82.47,9.0,98.61,Stable,Accepted,9.013000000000005,88.44487179487179,8.777000000000001,91.87314814814815,5.743000000000002,88.2795918367347,1.5919999999999999,51.75757575757576,70.10156,1.681174740075126,-0.6629649931274875,False,100.53251999999999,1.8750543352127167,-0.6983904281640099,False,41.60372,1.0825524821765735,1.5272054031744682,False,1.9674,0.2696854649401781,-0.9618612558802175,False
39,2026-01-01 09:30:00,M-02,Line-A,70.936,98.151,40.88,1.851,50.141,0.897,78.0,108.0,49.0,3.3,Shift-B,OP-019,RM-0005,24.19,85.91,112.0,103.89,Stable,Accepted,7.063999999999993,90.94358974358975,9.849000000000004,90.88055555555556,8.119999999999997,83.42857142857143,1.4489999999999998,56.09090909090909,70.11748,1.6873529348262233,0.48509116445416567,False,100.53096,1.87709956848325,-1.2678922524728256,False,41.58804,1.0903681136814884,-0.6493586809040026,False,1.96768,0.2695556095997015,-0.432860589224144,False
40,2026-01-01 09:45:00,M-04,Line-A,68.84,100.001,39.568,2.075,48.998,1.035,78.0,108.0,49.0,3.3,Shift-B,OP-029,RM-0028,24.1,78.62,115.0,104.35,Stable,Accepted,9.159999999999997,88.25641025641026,7.998999999999995,92.59351851851852,9.432000000000002,80.75102040816327,1.2249999999999996,62.87878787878789,70.12048,1.6849130323748667,-0.7599680074853327,False,100.49328,1.877938287058444,-0.26213853958485983,False,41.601800000000004,1.061068761516736,-1.9167466556011015,False,1.9774400000000003,0.26881686455032294,0.36292365868933973,False
41,2026-01-01 10:00:00,M-01,Line-D,71.399,99.99,43.494,1.983,50.432,1.445,78.0,108.0,49.0,3.3,Shift-B,OP-027,RM-0019,24.69,95.07,111.0,95.98,Stable,Accepted,6.600999999999999,91.53717948717949,8.010000000000005,92.58333333333333,5.506,88.76326530612245,1.3169999999999997,60.09090909090909,70.17392000000001,1.7040916426843573,0.7189049986010103,False,100.4324,1.8681819816780885,-0.23680776516355326,False,41.73452,1.0825886461009369,1.6252525890946288,False,1.9576,0.24773372802264937,0.10252943837214552,False
42,2026-01-01 10:15:00,M-05,Line-B,69.74,99.441,39.948,2.033,49.373,0.788,78.0,108.0,49.0,3.3,Shift-B,OP-007,RM-0041,24.13,84.0,112.0,101.18,Stable,Accepted,8.260000000000005,89.41025641025641,8.558999999999997,92.075,9.052,81.5265306122449,1.267,61.60606060606061,70.05232,1.6165968555373764,-0.19319597148182052,False,100.45088,1.8554475946969424,-0.54427837406259,False,41.68928,1.1335551934805204,-1.5361228196162988,False,1.9573600000000002,0.24765447704412696,0.30542553037118003,False
43,2026-01-01 10:30:00,M-05,Line-C,67.81,98.616,40.832,2.02,50.254,0.684,78.0,108.0,49.0,3.3,Shift-B,OP-010,RM-0085,25.03,83.45,16.0,97.63,Stable,Accepted,10.189999999999998,86.93589743589743,9.384,91.3111111111111,8.168,83.33061224489796,1.2799999999999998,61.21212121212122,69.97368,1.677278170131596,-1.2899947298725298,False,100.2292,1.720222296681449,-0.9377857751943433,False,41.624759999999995,1.134652710450791,-0.6986807440710515,False,1.9619199999999999,0.24771891328681384,0.23445928786533132,False
44,2026-01-01 10:45:00,M-03,Line-D,68.882,98.373,43.347,1.635,50.433,0.937,78.0,108.0,49.0,3.3,Shift-B,OP-023,RM-0130,25.42,85.78,99.0,98.25,Stable,Accepted,9.117999999999995,88.31025641025641,9.626999999999995,91.08611111111111,5.652999999999999,88.46326530612245,1.6649999999999998,49.54545454545455,69.88176,1.671371873641527,-0.5981672994303491,False,100.11291999999999,1.7443148826975008,-0.9974804533624568,False,41.68188,1.1849129475760345,1.405267790689875,False,1.9414800000000003,0.25292441558694967,-1.2117454113268058,False
45,2026-01-01 11:00:00,M-01,Line-C,70.803,100.438,41.266,1.78,50.374,0.959,78.0,108.0,49.0,3.3,Shift-B,OP-021,RM-0004,24.77,83.08,75.0,98.37,Stable,Accepted,7.197000000000003,90.77307692307693,7.561999999999998,92.99814814814815,7.734000000000002,84.21632653061224,1.5199999999999998,53.939393939393945,69.9276,1.6806403541507595,0.5208728910013264,False,100.03876,1.6862559681139735,0.23676120799533415,False,41.69648,1.177113387344932,-0.36570818463885024,False,1.91232,0.22528106888950977,-0.5873551677122812,False
46,2026-01-01 11:15:00,M-06,Line-B,67.869,99.762,42.968,1.83,50.809,0.633,78.0,108.0,49.0,3.3,Shift-B,OP-001,RM-0064,24.22,85.52,61.0,98.01,Stable,Accepted,10.131,87.01153846153846,8.238,92.37222222222222,6.0319999999999965,87.68979591836735,1.4699999999999998,55.45454545454545,69.8348,1.728962309209386,-1.1369825643561402,False,100.03880000000001,1.686249116629369,-0.1641513091216926,False,41.73312,1.202620552515766,1.0268242941772068,False,1.9144400000000001,0.2242013752559665,-0.37662570046056365,False
47,2026-01-01 11:30:00,M-03,Line-B,68.449,101.859,43.38,1.614,48.928,0.485,78.0,108.0,49.0,3.3,Shift-B,OP-021,RM-0039,25.49,83.01,80.0,96.44,Stable,Accepted,9.551000000000002,87.7551282051282,6.141000000000005,94.31388888888888,5.619999999999997,88.53061224489797,1.6859999999999997,48.909090909090914,69.87224,1.6861951567557818,-0.844054138275609,False,100.02868000000001,1.6740031292284554,1.0933790791917914,False,41.732960000000006,1.2023920076247985,1.3698028509467182,False,1.91344,0.2255329022559681,-1.327699847803808,False
48,2026-01-01 11:45:00,M-06,Line-A,69.548,100.754,40.446,1.867,50.334,0.627,78.0,108.0,49.0,3.3,Shift-B,OP-004,RM-0091,26.3,82.41,67.0,98.42,Stable,Accepted,8.451999999999998,89.16410256410256,7.245999999999995,93.29074074074074,8.554000000000002,82.54285714285714,1.4329999999999998,56.57575757575758,69.84036,1.6844177995180767,-0.17356738932802085,False,99.9792,1.6313217800299216,0.4749522807117721,False,41.6958,1.2279984731260842,-1.017753708454064,False,1.9062799999999998,0.22398521528589052,-0.17536871775158688,False
49,2026-01-01 12:00:00,M-05,Line-A,70.865,98.339,41.498,2.038,51.955,1.182,78.0,108.0,49.0,3.3,Shift-B,OP-015,RM-0069,25.01,85.63,89.0,95.44,Stable,Accepted,7.135000000000005,90.85256410256409,9.661000000000001,91.05462962962963,7.5020000000000024,84.68979591836734,1.262,61.75757575757576,69.87616,1.6967537554597176,0.5827834456344435,False,99.92188,1.663758829678546,-0.9513878885354018,False,41.68988,1.2286051481253015,-0.156177108888718,False,1.91592,0.22427195544695294,0.5443391250444389,False
50,2026-01-01 12:15:00,M-05,Line-A,71.9,101.25,41.433,2.199,49.214,1.119,78.0,108.0,49.0,3.3,Shift-B,OP-007,RM-0058,24.7,84.29,83.0,95.68,Stable,Accepted,6.099999999999994,92.17948717948718,6.75,93.75,7.567,84.55714285714285,1.101,66.63636363636364,70.02092,1.7093232803266536,1.0993122375545645,False,100.07907999999999,1.5917831960833506,0.7356026894121682,False,41.677479999999996,1.2296106470478074,-0.19882716580811324,False,1.93052,0.23051068666477634,1.1647182344757878,False
51,2026-01-01 12:30:00,M-05,Line-D,70.03,97.489,42.386,1.832,49.947,0.77,78.0,108.0,49.0,3.3,Shift-B,OP-025,RM-0028,26.0,92.91,36.0,102.73,Stable,Accepted,7.969999999999999,89.78205128205128,10.510999999999996,90.26759259259259,6.613999999999997,86.50204081632653,1.4679999999999997,55.515151515151516,70.10808,1.648540691035564,-0.04736310145365742,False,99.93791999999999,1.6600622458209178,-1.4751976958484294,False,41.67472,1.2278689031542935,0.579280082892223,False,1.91664,0.22531383298264973,-0.37565381086263583,False
