batch_id,timestamp,machine_id,product_line,temperature,pressure,cycle_time,vibration,quality_measurement,defect_rate,temperature_tolerance,pressure_tolerance,cycle_time_tolerance,vibration_tolerance,operator_shift,operator_id,raw_material_batch,ambient_temperature,energy_consumption,maintenance_days,production_speed,actual_status,final_outcome
14337,2026-05-30 08:00:00,M-03,Line-C,72.97,103.248,44.46,3.237,46.114,3.416,78.0,108.0,49.0,3.3,Shift-B,OP-028,RM-0019,24.75,83.98,50,101.42,Warning,Rework
7815,2026-03-23 09:30:00,M-03,Line-B,71.875,101.021,42.031,2.569,49.703,1.153,78.0,108.0,49.0,3.3,Shift-B,OP-007,RM-0036,22.84,87.5,79,101.58,Stable,Accepted
6177,2026-03-06 08:00:00,M-05,Line-B,70.963,100.727,41.128,1.918,48.609,0.802,78.0,108.0,49.0,3.3,Shift-B,OP-012,RM-0037,28.67,81.36,40,101.72,Stable,Accepted
6522,2026-03-09 22:15:00,M-01,Line-A,70.373,97.243,40.601,1.888,52.268,1.295,78.0,108.0,49.0,3.3,Shift-C,OP-023,RM-0042,26.49,86.58,33,98.96,Stable,Accepted
5118,2026-02-23 07:15:00,M-03,Line-B,67.687,99.815,42.67,1.483,49.416,0.955,78.0,108.0,49.0,3.3,Shift-A,OP-003,RM-0148,22.18,78.12,32,99.43,Stable,Accepted
2440,2026-01-26 09:45:00,M-01,Line-C,69.609,99.623,40.988,2.117,49.747,0.715,78.0,108.0,49.0,3.3,Shift-B,OP-008,RM-0013,23.28,81.91,110,96.26,Stable,Accepted
11295,2026-04-28 15:30:00,M-05,Line-B,69.928,101.719,41.733,2.552,50.947,0.994,78.0,108.0,49.0,3.3,Shift-B,OP-001,RM-0017,23.01,84.79,10,99.42,Stable,Accepted
14368,2026-05-30 15:45:00,M-03,Line-C,72.946,100.693,43.738,3.495,44.455,3.541,78.0,108.0,49.0,3.3,Shift-B,OP-020,RM-0138,23.56,92.95,87,96.43,Critical,Rejected
13575,2026-05-22 09:30:00,M-04,Line-A,75.513,101.597,43.572,3.546,44.668,4.086,78.0,108.0,49.0,3.3,Shift-B,OP-016,RM-0015,21.76,93.97,119,95.22,Critical,Rejected
2677,2026-01-28 21:00:00,M-06,Line-A,70.858,100.927,40.61,2.267,50.027,0.546,78.0,108.0,49.0,3.3,Shift-C,OP-005,RM-0029,22.77,88.34,119,99.69,Stable,Accepted
12133,2026-05-07 09:00:00,M-02,Line-B,69.925,102.077,44.744,2.807,46.088,2.306,78.0,108.0,49.0,3.3,Shift-B,OP-016,RM-0074,27.24,79.13,105,93.89,Warning,Accepted
4099,2026-02-12 16:30:00,M-05,Line-C,68.901,101.412,41.424,1.993,49.484,0.269,78.0,108.0,49.0,3.3,Shift-C,OP-014,RM-0121,26.11,85.21,17,103.4,Stable,Accepted
7158,2026-03-16 13:15:00,M-05,Line-B,67.944,100.078,39.271,1.925,49.59,1.044,78.0,108.0,49.0,3.3,Shift-B,OP-003,RM-0030,26.87,87.53,75,102.3,Stable,Accepted
3289,2026-02-04 06:00:00,M-02,Line-A,71.598,103.29,42.151,1.859,51.915,1.17,78.0,108.0,49.0,3.3,Shift-A,OP-028,RM-0095,28.63,81.62,2,102.42,Stable,Accepted
3388,2026-02-05 06:45:00,M-05,Line-D,68.207,100.059,42.319,1.527,51.255,0.489,78.0,108.0,49.0,3.3,Shift-A,OP-003,RM-0098,26.25,81.62,23,101.6,Stable,Accepted
8192,2026-03-27 07:45:00,M-02,Line-A,69.569,98.704,42.379,1.958,49.354,0.442,78.0,108.0,49.0,3.3,Shift-A,OP-027,RM-0125,22.13,85.08,111,98.68,Stable,Accepted
4140,2026-02-13 02:45:00,M-04,Line-D,68.287,101.247,45.6,1.854,48.856,1.493,78.0,108.0,49.0,3.3,Shift-A,OP-009,RM-0107,26.41,86.1,17,98.62,Warning,Accepted
10384,2026-04-19 03:45:00,M-05,Line-A,73.897,98.76,41.154,2.523,48.449,2.494,78.0,108.0,49.0,3.3,Shift-A,OP-024,RM-0126,23.85,85.6,19,101.7,Warning,Accepted
6926,2026-03-14 03:15:00,M-01,Line-B,71.523,98.983,43.369,2.41,49.715,1.092,78.0,108.0,49.0,3.3,Shift-A,OP-005,RM-0140,27.18,84.87,49,99.5,Stable,Accepted
7140,2026-03-16 08:45:00,M-02,Line-D,71.676,100.925,42.997,1.918,50.994,0.953,78.0,108.0,49.0,3.3,Shift-B,OP-021,RM-0149,25.91,85.87,59,98.15,Stable,Accepted
14149,2026-05-28 09:00:00,M-02,Line-B,75.272,104.583,45.003,3.218,43.926,4.554,78.0,108.0,49.0,3.3,Shift-B,OP-011,RM-0006,24.82,97.14,50,98.97,Critical,Rejected
2324,2026-01-25 04:45:00,M-04,Line-B,69.401,99.533,40.662,1.44,49.866,0.283,78.0,108.0,49.0,3.3,Shift-A,OP-026,RM-0101,22.96,87.75,73,104.75,Stable,Accepted
7114,2026-03-16 02:15:00,M-03,Line-B,70.29,102.206,41.672,1.971,50.818,0.975,78.0,108.0,49.0,3.3,Shift-A,OP-002,RM-0138,25.51,88.38,98,101.78,Stable,Accepted
4402,2026-02-15 20:15:00,M-01,Line-B,69.666,103.397,41.208,1.793,50.269,0.853,78.0,108.0,49.0,3.3,Shift-C,OP-017,RM-0032,25.12,79.85,100,98.63,Stable,Accepted
8295,2026-03-28 09:30:00,M-01,Line-B,70.953,98.659,43.385,2.038,50.515,0.05,78.0,108.0,49.0,3.3,Shift-B,OP-008,RM-0081,22.66,92.91,101,95.46,Stable,Accepted
9226,2026-04-07 02:15:00,M-05,Line-B,67.067,97.086,42.786,1.908,50.346,0.691,78.0,108.0,49.0,3.3,Shift-A,OP-009,RM-0130,28.57,82.37,59,94.33,Stable,Accepted
7647,2026-03-21 15:30:00,M-04,Line-D,72.415,100.829,44.992,2.02,50.027,1.911,78.0,108.0,49.0,3.3,Shift-B,OP-030,RM-0065,22.89,92.61,66,93.47,Stable,Accepted
6685,2026-03-11 15:00:00,M-03,Line-D,69.737,98.808,42.102,1.95,51.393,0.667,78.0,108.0,49.0,3.3,Shift-B,OP-010,RM-0075,28.37,83.21,45,96.21,Stable,Accepted
795,2026-01-09 06:30:00,M-03,Line-C,68.517,101.664,41.205,2.001,49.364,0.421,78.0,108.0,49.0,3.3,Shift-A,OP-002,RM-0142,26.07,83.94,43,102.0,Stable,Accepted
5891,2026-03-03 08:30:00,M-05,Line-C,66.269,100.898,42.259,1.637,49.748,0.894,78.0,108.0,49.0,3.3,Shift-B,OP-008,RM-0023,24.38,80.83,77,94.4,Stable,Accepted
12607,2026-05-12 07:30:00,M-04,Line-B,73.803,105.923,42.809,2.948,45.221,3.283,78.0,108.0,49.0,3.3,Shift-A,OP-017,RM-0076,27.5,81.84,64,99.34,Warning,Rework
3890,2026-02-10 12:15:00,M-05,Line-B,70.66,99.132,43.545,1.673,49.389,1.326,78.0,108.0,49.0,3.3,Shift-B,OP-001,RM-0071,27.56,87.05,37,100.11,Stable,Accepted
8402,2026-03-29 12:15:00,M-02,Line-B,69.697,96.779,41.696,2.393,48.708,0.843,78.0,108.0,49.0,3.3,Shift-B,OP-027,RM-0007,22.09,80.85,16,100.23,Stable,Accepted
3636,2026-02-07 20:45:00,M-03,Line-D,70.346,98.067,44.32,1.726,49.12,0.962,78.0,108.0,49.0,3.3,Shift-C,OP-014,RM-0099,26.82,87.23,84,99.94,Stable,Accepted
6493,2026-03-09 15:00:00,M-02,Line-C,69.92,100.105,41.411,1.943,50.407,0.732,78.0,108.0,49.0,3.3,Shift-B,OP-023,RM-0069,27.82,82.33,92,97.9,Stable,Accepted
10629,2026-04-21 17:00:00,M-05,Line-D,72.65,97.017,43.031,2.432,48.455,1.789,78.0,108.0,49.0,3.3,Shift-C,OP-030,RM-0111,21.79,88.41,73,97.43,Stable,Accepted
11240,2026-04-28 01:45:00,M-01,Line-A,70.215,101.867,42.559,2.381,52.065,1.13,78.0,108.0,49.0,3.3,Shift-A,,RM-0144,23.41,86.1,101,95.57,Stable,Accepted
9024,2026-04-04 23:45:00,M-04,Line-A,70.596,100.176,42.057,2.396,50.153,1.451,78.0,108.0,49.0,3.3,Shift-C,OP-004,RM-0113,26.78,88.29,11,98.41,Stable,Accepted
8522,2026-03-30 18:15:00,M-06,Line-C,70.367,101.401,40.766,2.204,50.01,0.457,78.0,108.0,49.0,3.3,Shift-C,OP-009,RM-0123,22.58,80.03,82,97.64,Stable,Accepted
2055,2026-01-22 09:30:00,M-05,Line-A,69.362,100.402,41.876,1.9,51.607,0.513,78.0,108.0,49.0,3.3,Shift-B,OP-022,RM-0139,21.75,84.33,63,101.59,Stable,Accepted
5801,2026-03-02 10:00:00,M-01,Line-C,70.179,97.341,42.113,1.576,50.339,0.955,78.0,108.0,49.0,3.3,Shift-B,OP-002,RM-0028,25.35,88.29,90,104.79,Stable,Accepted
11267,2026-04-28 08:30:00,M-01,Line-A,70.93,105.806,41.827,2.275,48.84,1.228,78.0,108.0,49.0,3.3,Shift-B,OP-003,RM-0043,21.91,88.85,24,97.87,Warning,Accepted
13063,2026-05-17 01:30:00,M-03,Line-B,72.319,100.786,44.286,2.657,47.492,1.939,78.0,108.0,49.0,3.3,Shift-A,OP-030,RM-0097,23.68,82.84,85,96.84,Warning,Accepted
10037,2026-04-15 13:00:00,M-03,Line-C,72.732,99.796,40.997,2.375,47.684,1.593,78.0,108.0,49.0,3.3,Shift-B,OP-028,RM-0150,23.74,83.98,33,96.41,Warning,Accepted
3493,2026-02-06 09:00:00,M-03,Line-C,70.231,100.448,40.921,1.939,49.109,0.174,78.0,108.0,49.0,3.3,Shift-B,OP-003,RM-0052,27.46,81.65,8,101.67,Stable,Accepted
6959,2026-03-14 11:30:00,M-02,Line-C,70.06,99.456,42.329,1.912,48.24,1.231,78.0,108.0,49.0,3.3,Shift-B,OP-024,RM-0029,26.32,87.24,48,97.58,Stable,Accepted
2560,2026-01-27 15:45:00,M-04,Line-D,70.812,100.126,44.069,1.719,50.25,1.2,78.0,108.0,49.0,3.3,Shift-B,OP-022,RM-0010,23.03,80.2,74,98.06,Stable,Accepted
12663,2026-05-12 21:30:00,M-01,Line-B,73.862,102.637,45.259,3.092,46.283,3.863,78.0,108.0,49.0,3.3,Shift-C,OP-018,RM-0144,26.53,88.6,97,100.73,Critical,Rejected
6905,2026-03-13 22:00:00,M-04,Line-D,68.828,102.0,42.32,1.605,51.445,0.814,78.0,108.0,49.0,3.3,Shift-C,OP-014,RM-0119,25.84,88.38,91,99.38,Stable,Accepted
2407,2026-01-26 01:30:00,M-03,Line-B,68.144,100.856,40.617,1.959,48.741,0.991,78.0,108.0,49.0,3.3,Shift-A,OP-008,RM-0123,21.1,83.12,69,97.84,Stable,Accepted
4829,2026-02-20 07:00:00,M-06,Line-A,70.473,102.596,39.27,2.106,51.031,0.79,78.0,108.0,49.0,3.3,Shift-A,OP-020,RM-0104,22.8,79.29,108,100.83,Stable,Accepted
13839,2026-05-25 03:30:00,M-05,Line-D,73.486,102.019,45.731,3.183,45.075,4.026,78.0,108.0,49.0,3.3,Shift-A,OP-013,RM-0017,21.41,82.57,27,95.54,Critical,Rejected
10361,2026-04-18 22:00:00,M-03,Line-D,71.395,96.698,42.467,2.555,50.001,1.425,78.0,108.0,49.0,3.3,Shift-C,OP-025,RM-0057,23.6,88.13,10,100.66,Stable,Accepted
9499,2026-04-09 22:30:00,M-06,Line-A,71.359,99.22,40.656,2.527,46.758,1.706,78.0,108.0,49.0,3.3,Shift-C,OP-010,RM-0081,28.0,87.36,50,105.02,Warning,Accepted
9001,2026-04-04 18:00:00,M-03,Line-D,69.983,100.364,43.818,2.284,50.291,1.233,78.0,108.0,49.0,3.3,Shift-C,OP-024,RM-0144,28.06,82.57,35,101.48,Stable,Accepted
11026,2026-04-25 20:15:00,M-03,Line-B,71.347,104.217,42.247,2.8,49.534,2.523,78.0,108.0,49.0,3.3,Shift-C,OP-005,RM-0089,22.5,93.16,38,100.26,Warning,Accepted
12373,2026-05-09 21:00:00,M-01,Line-C,73.815,99.251,41.876,2.72,47.114,2.346,78.0,108.0,49.0,3.3,Shift-C,OP-016,RM-0062,28.56,88.21,14,100.8,Warning,Accepted
1403,2026-01-15 14:30:00,M-02,Line-C,70.674,101.391,41.683,1.809,49.515,0.861,78.0,108.0,49.0,3.3,Shift-B,OP-006,RM-0101,24.43,74.45,19,97.39,Stable,Accepted
4867,2026-02-20 16:30:00,M-03,Line-D,69.937,96.118,42.473,1.728,51.779,0.213,78.0,108.0,49.0,3.3,Shift-C,OP-002,RM-0066,23.21,86.66,11,97.56,Stable,Accepted
9826,2026-04-13 08:15:00,M-03,Line-B,70.166,98.416,42.144,2.055,50.7,1.095,78.0,108.0,49.0,3.3,Shift-B,OP-016,RM-0084,27.22,90.03,20,100.54,Stable,Accepted
10687,2026-04-22 07:30:00,M-05,Line-B,68.992,100.57,42.709,1.982,49.698,1.064,78.0,108.0,49.0,3.3,Shift-A,OP-030,RM-0114,22.2,83.26,115,100.75,Stable,Accepted
4192,2026-02-13 15:45:00,M-03,Line-C,69.216,99.159,41.94,2.181,50.031,0.499,78.0,108.0,49.0,3.3,Shift-B,OP-004,RM-0106,25.35,86.0,55,103.75,Stable,Accepted
6106,2026-03-05 14:15:00,M-04,Line-C,71.397,102.065,39.528,2.327,49.327,1.637,78.0,108.0,49.0,3.3,Shift-B,OP-003,RM-0080,26.37,80.53,39,95.98,Stable,Accepted
3997,2026-02-11 15:00:00,M-01,Line-A,69.975,97.003,41.156,1.716,51.214,0.864,78.0,108.0,49.0,3.3,Shift-B,OP-001,RM-0112,27.73,87.58,33,101.96,Stable,Accepted
352,2026-01-04 15:45:00,M-01,Line-D,70.683,100.168,42.578,1.978,51.259,1.183,78.0,108.0,49.0,3.3,Shift-B,OP-013,RM-0011,26.71,90.87,92,92.22,Stable,Accepted
3705,2026-02-08 14:00:00,M-06,Line-A,71.081,102.016,40.177,1.953,50.521,1.15,78.0,108.0,49.0,3.3,Shift-B,OP-005,RM-0122,27.9,86.95,53,101.25,Stable,Accepted
170,2026-01-02 18:15:00,M-01,Line-B,70.032,98.368,42.501,1.679,50.472,0.784,78.0,108.0,49.0,3.3,Shift-C,OP-010,RM-0136,25.95,85.16,53,96.92,Stable,Accepted
12393,2026-05-10 02:00:00,M-03,Line-D,72.216,103.866,44.686,2.66,47.54,2.473,78.0,108.0,49.0,3.3,Shift-A,OP-019,RM-0037,28.39,86.51,37,96.26,Warning,Accepted
4591,2026-02-17 19:30:00,M-05,Line-B,67.382,99.034,41.845,2.011,51.175,1.22,78.0,108.0,49.0,3.3,Shift-C,OP-002,RM-0041,23.27,84.05,1,101.41,Stable,Accepted
1321,2026-01-14 18:00:00,M-01,Line-B,70.053,98.271,41.677,1.932,49.8,0.104,78.0,108.0,49.0,3.3,Shift-C,OP-029,RM-0125,24.9,81.06,1,98.64,Stable,Accepted
3624,2026-02-07 17:45:00,M-03,Line-A,69.048,98.561,42.043,1.85,49.45,1.173,78.0,108.0,49.0,3.3,Shift-C,OP-005,RM-0057,28.77,90.39,101,99.62,Stable,Accepted
11144,2026-04-27 01:45:00,M-01,Line-B,73.369,98.871,43.941,2.483,48.451,2.736,78.0,108.0,49.0,3.3,Shift-A,OP-005,RM-0146,22.67,93.49,106,95.73,Warning,Rework
8075,2026-03-26 02:30:00,M-05,Line-B,71.134,96.361,41.029,2.055,50.236,0.758,78.0,108.0,49.0,3.3,Shift-A,OP-001,RM-0046,21.48,82.82,47,97.78,Stable,Accepted
11725,2026-05-03 03:00:00,M-02,Line-B,70.947,102.303,43.746,2.042,50.84,1.256,78.0,108.0,49.0,3.3,Shift-A,OP-006,RM-0028,25.89,89.51,24,94.85,Stable,Accepted
388,2026-01-05 00:45:00,M-05,Line-A,69.433,101.817,40.968,1.686,49.082,0.781,78.0,108.0,49.0,3.3,Shift-A,OP-026,RM-0003,28.14,85.66,29,98.24,Stable,Accepted
13495,2026-05-21 13:30:00,M-01,Line-B,71.812,99.712,46.237,2.984,45.966,2.988,78.0,108.0,49.0,3.3,Shift-B,OP-004,RM-0060,22.65,92.95,118,96.7,Warning,Rework
150,2026-01-02 13:15:00,M-01,Line-C,68.681,98.736,40.984,1.795,50.743,1.342,78.0,108.0,49.0,3.3,Shift-B,OP-007,RM-0108,25.8,82.45,78,100.55,Stable,Accepted
11645,2026-05-02 07:00:00,M-03,Line-C,71.111,103.344,42.738,2.717,48.119,1.8,78.0,108.0,49.0,3.3,Shift-A,OP-028,RM-0032,25.99,77.06,44,100.14,Warning,Accepted
13167,2026-05-18 03:30:00,M-02,Line-D,73.281,101.502,44.707,2.691,47.152,2.949,78.0,108.0,49.0,3.3,Shift-A,OP-028,RM-0096,22.53,88.5,23,95.85,Warning,Rework
9802,2026-04-13 02:15:00,M-03,Line-B,72.009,97.577,43.631,2.241,49.752,1.752,78.0,108.0,49.0,3.3,Shift-A,OP-026,RM-0087,26.78,85.25,93,97.9,Stable,Accepted
5774,2026-03-02 03:15:00,M-01,Line-A,70.116,101.434,39.399,1.905,50.686,0.691,78.0,108.0,49.0,3.3,Shift-A,OP-027,RM-0037,24.34,85.37,72,102.73,Stable,Accepted
11568,2026-05-01 11:45:00,M-06,Line-C,71.165,103.263,40.569,2.811,46.427,1.782,78.0,108.0,49.0,3.3,Shift-B,OP-004,RM-0033,24.25,86.37,71,97.88,Warning,Accepted
9980,2026-04-14 22:45:00,M-01,Line-C,70.955,102.029,42.414,2.423,49.762,1.064,78.0,108.0,49.0,3.3,Shift-C,OP-011,RM-0147,25.86,85.9,26,99.51,Stable,Accepted
10540,2026-04-20 18:45:00,M-03,Line-B,66.849,101.283,41.968,2.262,50.432,0.643,78.0,108.0,49.0,3.3,Shift-C,OP-003,RM-0043,24.15,89.37,74,99.19,Stable,Accepted
4820,2026-02-20 04:45:00,M-06,Line-D,69.336,104.631,43.019,1.71,49.269,1.508,78.0,108.0,49.0,3.3,Shift-A,OP-013,RM-0024,21.73,82.46,119,99.88,Warning,Accepted
7019,2026-03-15 02:30:00,M-03,Line-A,68.974,97.548,43.354,2.056,49.113,0.813,78.0,108.0,49.0,3.3,Shift-A,OP-021,RM-0115,24.7,89.62,87,98.47,Stable,Accepted
7287,2026-03-17 21:30:00,M-04,Line-D,70.607,100.369,41.584,2.249,49.438,1.241,78.0,108.0,49.0,3.3,Shift-C,OP-030,RM-0136,25.26,82.16,66,102.77,Stable,Accepted
10691,2026-04-22 08:30:00,M-03,Line-D,69.531,99.245,43.855,2.356,49.602,1.311,78.0,108.0,49.0,3.3,Shift-B,OP-002,RM-0106,22.44,80.14,98,99.93,Stable,Accepted
7321,2026-03-18 06:00:00,M-02,Line-A,70.333,99.092,42.69,2.125,50.467,0.928,78.0,108.0,49.0,3.3,Shift-A,OP-015,RM-0031,25.13,89.66,73,99.17,Stable,Accepted
13231,2026-05-18 19:30:00,M-05,Line-C,69.526,100.945,44.215,2.563,48.416,1.817,78.0,108.0,49.0,3.3,Shift-C,OP-016,RM-0118,22.77,82.07,110,96.64,Stable,Accepted
5713,2026-03-01 12:00:00,M-03,Line-B,71.468,101.653,42.354,2.115,49.844,0.766,78.0,108.0,49.0,3.3,Shift-B,OP-018,RM-0147,25.34,94.52,106,95.77,Stable,Accepted
567,2026-01-06 21:30:00,M-02,Line-A,68.922,100.388,40.207,1.57,53.226,1.153,78.0,108.0,49.0,3.3,Shift-C,OP-022,RM-0050,28.58,83.95,90,99.33,Stable,Accepted
14199,2026-05-28 21:30:00,M-05,Line-C,73.817,102.467,43.188,3.397,45.661,3.522,78.0,108.0,49.0,3.3,Shift-C,OP-020,RM-0043,23.38,87.38,103,99.38,Critical,Rejected
5717,2026-03-01 13:00:00,M-02,Line-D,70.072,100.165,41.62,1.809,50.983,0.861,78.0,108.0,49.0,3.3,Shift-B,OP-022,RM-0004,24.31,83.17,70,100.25,Stable,Accepted
11176,2026-04-27 09:45:00,M-02,Line-A,72.053,100.53,42.586,2.467,50.435,1.983,78.0,108.0,49.0,3.3,Shift-B,OP-004,RM-0025,23.47,90.42,25,98.45,Stable,Accepted
4739,2026-02-19 08:30:00,M-03,Line-D,67.522,98.826,41.339,1.995,50.397,1.0,78.0,108.0,49.0,3.3,Shift-B,OP-022,RM-0014,21.5,86.03,82,98.09,Stable,Accepted
11160,2026-04-27 05:45:00,M-05,Line-B,72.936,101.877,42.319,2.394,48.538,1.594,78.0,108.0,49.0,3.3,Shift-A,OP-014,RM-0076,23.3,87.95,57,99.32,Stable,Accepted
9489,2026-04-09 20:00:00,M-04,Line-C,71.697,100.878,41.966,2.336,49.537,0.818,78.0,108.0,49.0,3.3,Shift-C,OP-021,RM-0015,27.05,89.53,77,97.64,Stable,Accepted
14494,2026-05-31 23:15:00,M-06,Line-A,75.524,105.994,46.272,3.697,39.96,5.769,78.0,108.0,49.0,3.3,Shift-C,OP-009,RM-0147,24.39,95.72,93,95.6,Critical,Rejected
2967,2026-01-31 21:30:00,M-02,Line-B,70.031,99.473,42.109,2.068,50.453,0.673,78.0,108.0,49.0,3.3,Shift-C,OP-021,RM-0028,24.34,89.66,69,99.38,Stable,Accepted
10681,2026-04-22 06:00:00,M-06,Line-B,73.285,104.757,44.394,2.268,47.257,2.197,78.0,108.0,49.0,3.3,Shift-A,OP-012,RM-0112,21.86,87.04,85,99.6,Warning,Accepted
9953,2026-04-14 16:00:00,M-01,Line-D,73.971,102.506,45.928,2.998,44.048,3.824,78.0,108.0,49.0,3.3,Shift-C,OP-019,RM-0046,26.01,90.9,23,95.91,Critical,Rejected
10339,2026-04-18 16:30:00,M-06,Line-B,72.663,105.031,41.657,2.357,49.714,1.77,78.0,108.0,49.0,3.3,Shift-C,OP-007,RM-0132,23.0,86.34,49,105.97,Warning,Accepted
